Acid;AcidPH;Base;BasePH;Neutral;NeutralPH
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.9375;9.957538413;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.9375;9.957538413;1536.375;7.006126008
2061.375;3.794328598;1053.9375;9.957538413;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.375;3.794328598;1053.75;9.958685483;1536.375;7.006126008
2061.5625;3.793181528;1053.9375;9.957538413;1536.375;7.006126008
2061.75;3.792034457;1053.9375;9.957538413;1536.375;7.006126008
2061.75;3.792034457;1053.9375;9.957538413;1536.375;7.006126008
2061.75;3.792034457;1053.75;9.958685483;1536.375;7.006126008
2061.75;3.792034457;1053.9375;9.957538413;1536.375;7.006126008
2061.75;3.792034457;1054.125;9.956391342;1536.375;7.006126008
2061.75;3.792034457;1054.125;9.956391342;1536.375;7.006126008
2061.75;3.792034457;1054.125;9.956391342;1536.375;7.006126008
2061.75;3.792034457;1054.125;9.956391342;1536.375;7.006126008
2061.75;3.792034457;1054.125;9.956391342;1536.375;7.006126008
2061.75;3.792034457;1054.125;9.956391342;1536.375;7.006126008
2061.9375;3.790887387;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
2062.125;3.789740316;1054.125;9.956391342;1536.375;7.006126008
